;Linie;Jahr;Verspaetung
DB Regio;S4;2015;0.2857322539
DB Regio;S4;2014;0.228569035
Nordwestbahn;RB36;2015;0.3142509585
Nordwestbahn;RB36;2014;0.271430965
Abelio;S7;2015;0.5
Abelio;S7;2014;0.357154836
Nordwestbahn;RB44;2015;0.5571212824
Nordwestbahn;RB44;2014;0.4570961119
DB Regio;RB32;2015;0.5571212824
DB Regio;RB32;2014;0.428577418
DB Regio;RB34;2015;0.571422582
DB Regio;RB34;2014;0.7284851403
Nordwestbahn;RB43;2015;0.5856399763
Nordwestbahn;RB43;2014;0.6142845121
;S28;2015;0.6142845121
;S28;2014;0.5285606412
;RB46;2015;0.6999664464
;RB46;2014;0.5428199935
Nordwestbahn;RB45;2015;0.714225788
Nordwestbahn;RB45;2014;0.4856987004
;S3;2015;0.7856903173
;S3;2014;0.6285438644
;S6;2015;0.7999496697
;S6;2014;1.4284935233
;RB38;2015;0.8428115997
;RB38;2014;1.5856399763
;S2;2015;0.8428115997
;S2;2014;0.7999496697
;S11;2015;0.8428115997
;S11;2014;0.8428115997
;S1;2015;0.8428115997
;S1;2014;0.9999161054
DB Regio;RB91;2015;0.9285354707
DB Regio;RB91;2014;0.7856903173
;S9;2015;0.942794823
;S9;2014;0.8285522474
DB Regio;RB40;2015;1.0570793351
DB Regio;RB40;2014;0.6571045056
;RE2;2015;1.1427612694
;RE2;2014;2.2284012457
Nordwestbahn;RB31;2015;1.1713638579
Nordwestbahn;RB31;2014;1.3285103001
;S5/S8;2015;1.2284851403
;S5/S8;2014;1.0285186939
;RE11;2015;1.3427696632
;RE11;2014;2.8141251166
;RB33;2015;1.3427696632
;RB33;2014;1.2427864399
xxxxx;Schnittwert;2015;1.3998909348
xxxxx;Schnittwert;2014;1.3856315932
Eurobahn;RE3;2015;1.4141502871
Eurobahn;RE3;2014;1.3285103001
Abelio;RE16;2015;1.442794823
Abelio;RE16;2014;1.1427612694
Eurobahn;RB59;2015;1.4856148165
Eurobahn;RB59;2014;1.6570625583
Eurobahn;RE13;2015;1.514217405
Eurobahn;RE13;2014;1.3142090112
Eurobahn;RB50;2015;1.6712799633
Eurobahn;RB50;2014;1.4284935233
;S68;2015;1.6855812522
;S68;2014;1.9141502979
Nordwestbahn;RE14;2015;1.7141838514
Nordwestbahn;RE14;2014;1.2713051338
;RB51;2015;1.7570457815
;RB51;2014;1.2427864399
Nordwestbahn;RE10;2015;1.7998657643
Nordwestbahn;RE10;2014;1.1427612694
;RB48;2015;1.8141251273
;RB48;2014;1.4141502871
;RE8;2015;1.8284264162
;RE8;2014;1.8998909348
;RB37;2015;1.8427696524
;RB37;2014;1.8713302936
;RB42;2015;2.0427360989
;RB42;2014;1.7284851403
;RB35;2015;2.0570373877
;RB35;2014;1.8998909348
;RB27;2015;2.3141251273
;RB27;2014;2.0998154339
;RE6;2015;2.4712715695
;RE6;2014;2.9855309218
;RE4;2015;2.8426857578
;RE4;2014;2.7855225281
;RE1;2015;2.8855057513
;RE1;2014;3.59973155
;RE7;2015;3.4283257448
;RE7;2014;3.0426102569
;RE5;2015;3.7854805807
;RE5;2014;3.1283760859
;Schnitt RE;2015;2.0945311018
;Schnitt RE;2014;2.1788709795
;Schnitt RB;2015;1.1948917865
;Schnitt RB;2014;1.1105099616
;Schnitt S;2015;0.8434406915
;Schnitt S;2014;0.8574903501